x_r,y_r,theta_r,x,y,theta,v,omega,x_e,y_e,theta_e
1.0607150506973266,0,0,0.94,-0.31,0.22,0.12816149461420615,0.03650622261514785,0.12071505069732669,0.31,-0.22
1.0622766304016114,0,0,0.95,-0.31,0.22,0.12056691634806238,0.03650622261514785,0.1122766304016114,0.31,-0.22
1.0638779973983765,0,0,0.96,-0.31,0.22,0.11300814664515102,0.03650622261514785,0.10387799739837655,0.31,-0.22
1.0654763889312744,0,0,0.96,-0.31,0.22,0.1144466990247591,0.03650622261514785,0.10547638893127442,0.31,-0.22
1.0670764255523681,0,0,0.96,-0.31,0.22,0.11588673198374347,0.03650622261514785,0.10707642555236818,0.31,-0.22
1.068676052093506,0,0,0.96,-0.31,0.22,0.11732639587076746,0.03650622261514785,0.10867605209350595,0.31,-0.22
1.0702772569656371,0,0,0.96,-0.31,0.22,0.11876748025568556,0.03650622261514785,0.11027725696563717,0.31,-0.22
1.0718762969970703,0,0,0.96,-0.31,0.22,0.12020661628397544,0.03650622261514785,0.11187629699707036,0.31,-0.22
1.0734893369674683,0,0,1.03,-0.3,0.12,0.05899657598779876,0.04081726756266484,0.04348933696746826,0.3,-0.12
1.0750756978988647,0,0,1.04,-0.3,0.12,0.05142430082605553,0.04081726756266484,0.035075697898864666,0.3,-0.12
1.0766767024993897,0,0,1.06,-0.3,0.11,0.034888154208584654,0.04141330194976951,0.016676702499389684,0.3,-0.11
1.078275351524353,0,0,1.07,-0.3,0.11,0.02732693833105163,0.04141330194976951,0.008275351524352992,0.3,-0.11
1.079923391342163,0,0,1.08,-0.3,0.1,0.01983113551350723,0.04200999500119031,-7.660865783698512e-05,0.3,-0.1
1.0814761781692506,0,0,1.09,-0.3,0.1,0.012228643657885955,0.04200999500119031,-0.008523821830749512,0.3,-0.1
1.0830879259109496,0,0,1.11,-0.3,0.09,-0.004301812019905562,0.042607287048119336,-0.026912074089050497,0.3,-0.09
1.0846762037277222,0,0,1.12,-0.3,0.08,-0.01185538251899771,0.04320511836184964,-0.035323796272277885,0.3,-0.08
1.0862748336791992,0,0,1.14,-0.29,0.08,-0.02841661556266825,0.04160511836184964,-0.05372516632080071,0.29,-0.08
1.087888765335083,0,0,1.15,-0.29,0.07,-0.03594909119335958,0.042203429159748035,-0.06211123466491686,0.29,-0.07
1.0894746971130371,0,0,1.16,-0.3,0.04,-0.043488770465046955,0.045600639948801945,-0.07052530288696279,0.3,-0.04
1.0910747337341309,0,0,1.17,-0.29,0.06,-0.05106872884057806,0.04280215961123332,-0.07892526626586904,0.29,-0.06
1.092674469947815,0,0,1.18,-0.29,0.13,-0.05876173917267066,0.03862195144281831,-0.08732553005218491,0.29,-0.13
1.0942752313613893,0,0,1.19,-0.29,0.14,-0.06634797185049687,0.038027413121345804,-0.09572476863861068,0.29,-0.14
1.0958751392364503,0,0,1.2,-0.29,0.13,-0.07388113681289893,0.03862195144281831,-0.10412486076354965,0.29,-0.13
1.0974750709533692,0,0,1.21,-0.29,0.13,-0.08144119826767196,0.03862195144281831,-0.1125249290466308,0.29,-0.13
1.0990859127044679,0,0,1.22,-0.29,0.13,-0.08899144069168313,0.03862195144281831,-0.1209140872955321,0.29,-0.13
1.1006745243072509,0,0,1.23,-0.29,0.12,-0.09653675540639686,0.03921726756266484,-0.1293254756927491,0.29,-0.12
1.1022745752334595,0,0,1.24,-0.29,0.12,-0.10409670957280912,0.03921726756266484,-0.13772542476654048,0.29,-0.12
1.1038747549057006,0,0,1.25,-0.29,0.11,-0.11163359862573549,0.03981330194976951,-0.14612524509429936,0.29,-0.11
1.1054737663269043,0,0,1.26,-0.29,0.11,-0.1191944883466522,0.03981330194976951,-0.1545262336730957,0.29,-0.11
1.1070732975006103,0,0,1.26,-0.29,0.11,-0.11775491029031676,0.03981330194976951,-0.15292670249938967,0.29,-0.11
1.1086742353439332,0,0,1.27,-0.29,0.1,-0.12529310488489967,0.04040999500119031,-0.16132576465606685,0.29,-0.1
1.1102730989456178,0,0,1.28,-0.29,0.1,-0.13285412764338353,0.04040999500119031,-0.16972690105438226,0.29,-0.1
1.1119032716751098,0,0,1.29,-0.29,0.1,-0.14038697218684068,0.04040999500119031,-0.1780967283248902,0.29,-0.1
1.1134735774993896,0,0,1.29,-0.29,0.1,-0.1389736969449889,0.04040999500119031,-0.17652642250061046,0.29,-0.1
1.115075387954712,0,0,1.3,-0.29,0.09,-0.14651309618051941,0.04100728704811934,-0.1849246120452881,0.29,-0.09
1.1166742515563965,0,0,1.31,-0.29,0.09,-0.15407411893900327,0.04100728704811934,-0.1933257484436035,0.29,-0.09
1.118272762298584,0,0,1.31,-0.29,0.09,-0.1526354592710346,0.04100728704811934,-0.1917272377014161,0.29,-0.09
1.119872727394104,0,0,1.31,-0.29,0.08,-0.15117851121925405,0.04160511836184964,-0.190127272605896,0.29,-0.08
1.1214732265472411,0,0,1.31,-0.29,0.08,-0.14973806198143066,0.04160511836184964,-0.18852677345275892,0.29,-0.08
1.1230867385864258,0,0,1.31,-0.29,0.08,-0.14828590114616444,0.04160511836184964,-0.18691326141357423,0.29,-0.08
1.124717230796814,0,0,1.32,-0.29,0.08,-0.15581845815681503,0.04160511836184964,-0.195282769203186,0.29,-0.08
1.12627366065979,0,0,1.32,-0.29,0.08,-0.15441767128013661,0.04160511836184964,-0.19372633934021,0.29,-0.08
1.1278718042373657,0,0,1.32,-0.29,0.08,-0.15297934206031857,0.04160511836184964,-0.1921281957626344,0.29,-0.08
1.129472665786743,0,0,1.32,-0.29,0.08,-0.1515385666658789,0.04160511836184964,-0.19052733421325696,0.29,-0.08
1.131071491241455,0,0,1.32,-0.29,0.08,-0.15009962375663818,0.04160511836184964,-0.18892850875854506,0.29,-0.08
1.1326724481582642,0,0,1.31,-0.29,0.08,-0.1396587625315099,0.04160511836184964,-0.17732755184173588,0.29,-0.08
1.1342722606658935,0,0,1.31,-0.29,0.08,-0.13821893127464355,0.04160511836184964,-0.17572773933410657,0.29,-0.08
1.1358721494674682,0,0,1.31,-0.29,0.08,-0.1367790313532263,0.04160511836184964,-0.17412785053253188,0.29,-0.08
1.13747127532959,0,0,1.31,-0.29,0.08,-0.13533981807731674,0.04160511836184964,-0.17252872467041014,0.29,-0.08
1.1390713262557983,0,0,1.3,-0.29,0.08,-0.12489977224372917,0.04160511836184964,-0.16092867374420172,0.29,-0.08
1.1406708145141602,0,0,1.3,-0.29,0.08,-0.1234602328112035,0.04160511836184964,-0.15932918548583985,0.29,-0.08
1.1422716093063354,0,0,1.29,-0.29,0.08,-0.11301951749824576,0.04160511836184964,-0.1477283906936646,0.29,-0.08
1.1438716411590577,0,0,1.29,-0.29,0.08,-0.11157948883079571,0.04160511836184964,-0.14612835884094233,0.29,-0.08
1.1454715251922607,0,0,1.28,-0.29,0.09,-0.10115657266672552,0.04100728704811934,-0.13452847480773933,0.29,-0.09
1.1470703601837158,0,0,1.28,-0.29,0.09,-0.09971762117441595,0.04100728704811934,-0.13292963981628425,0.29,-0.09
